t	u	y
0	45.19418589	0
0.5	45.19418589	0
1	45.19418589	30.63383993
1.5	45.19418589	51.1837888
2	45.19418589	53.92049251
2.5	45.19418589	60.74078668
3	45.19418589	66.66967376
3.5	45.19418589	65.09854638
4	45.19418589	60.71489975
4.5	45.19418589	62.92823744
5	45.19418589	60.92617623
5.5	45.19418589	73.56727371
6	45.19418589	79.17128559
6.5	45.19418589	74.59228199
7	45.19418589	77.48222881
7.5	45.19418589	77.94320311
8	45.19418589	74.04576341
8.5	45.19418589	78.41018494
9	45.19418589	77.65269842
9.5	45.19418589	73.44539468
10	45.19418589	71.67785376
10.5	45.19418589	72.89094598
11	45.19418589	76.08904655
11.5	45.19418589	73.63676452
12	45.19418589	60.66119261
12.5	45.19418589	72.21075585
13	45.19418589	71.74025813
13.5	45.19418589	69.97192471
14	45.19418589	60.71543005
14.5	98.08782288	94.07515212
15	98.08782288	117.1740448
15.5	98.08782288	122.1181772
16	98.08782288	126.0934444
16.5	98.08782288	126.3997808
17	98.08782288	140.4627122
17.5	98.08782288	135.0533356
18	98.08782288	139.7955348
18.5	98.08782288	145.4192913
19	98.08782288	146.5990268
19.5	98.08782288	146.2542895
20	98.08782288	141.6489211
20.5	98.08782288	146.0205651
21	98.08782288	147.1527499
21.5	98.08782288	149.6057645
22	98.08782288	153.0386339
22.5	98.08782288	149.7301898
23	98.08782288	149.002379
23.5	98.08782288	145.743144
24	98.08782288	149.9924578
24.5	98.08782288	148.6391394
25	98.08782288	144.1069437
25.5	98.08782288	147.8847182
26	98.08782288	148.6040836
26.5	98.08782288	146.0150891
27	98.08782288	130.5858043
27.5	98.08782288	140.5768722
28	98.08782288	140.076183
28.5	98.08782288	149.3941379
29	98.08782288	141.9378761
29.5	98.08782288	140.3088626
30	98.08782288	143.1123481
30.5	98.08782288	145.2988227
31	98.08782288	137.6405154
31.5	98.08782288	141.3384482
32	98.08782288	145.2389219
32.5	98.08782288	148.3900295
33	98.08782288	144.4747116
